,GCcleanPOBlat,GCcleanPOBlon,Unnamed: 0_x,count,cleanPOBtown_x,cleanPOBcnty_x,cleanPOBst_x,GCcleanPOBplace_x,Unnamed: 0_y,ersatz_id,rawPOB,cleanPOBtown_y,cleanPOBcnty_y,cleanPOBst_y,GCcleanPOBprec,GCcleanPOBplace_y
5769,47.73415470000001,-97.5667543,105,105,105,0,105,105,192,193,Northwood N Dak,Northwood,,North Dakota,town,Northwood ND
5770,47.7375216,-53.2294869,1,1,1,1,1,1,21992,21993,Carbonear Newfoundland,Carbonear,Newfoundland,Canada,town,Carbonear NL Canada
5771,47.7510741,-120.7401385,3,3,3,0,3,3,5668,5669,Washington state,Washington,,Washington,town,Washington
5772,47.753755700000006,11.769358300000002,1,1,1,0,1,1,14062,14063,Hausham Germany,Hausham,,Germany,town,Hausham Germany
5773,47.7630597,-99.51457,1,1,1,0,1,1,6475,6476,Hamberg N Dak,Hamberg,,North Dakota,town,Hamberg ND
5774,47.7630837,16.7134104,1,1,1,0,1,1,11553,11554,Ielmetz AustriaHungary,Illmitz,,AustriaHungary,town,Illmitz Austria
5775,47.7630837,16.713410800000002,1,1,1,0,1,1,13816,13817,11lmitz Austria,Illmitz,,Austria,town,Illmitz Austria
5776,47.7638843,-98.1773206,15,15,15,0,15,15,1375,1376,McVilIe N Dak,McVille,,North Dakota,town,McVille ND
5777,47.769723,-99.935404,10,10,10,0,10,10,2522,2523,Harvey N Dak,Harvey,,North Dakota,town,Harvey ND
5778,47.7735899,-97.109805,43,43,43,0,43,43,690,691,Thompson N Dak,Thompson,,North Dakota,town,Thompson ND
5779,47.7745617,-96.6093911,43,43,43,0,43,43,228,229,Crookston Minn,Crookston,,Minnesota,town,Crookston MN
5780,47.7919295,-98.3321905,21,21,21,0,21,21,1280,1281,Pekin N Dak,Pekin,,North Dakota,town,Pekin ND
5781,47.792781700000006,-99.6451249,6,6,6,0,6,6,135,136,Heimda1 N Dak,Heimdal,,North Dakota,town,Heimdal ND
5782,47.7974732,-96.7397936,1,1,1,0,1,1,7080,7081,Ross Minn,Ross,,Minnesota,town,Ross MN
5783,47.7986359,-96.7992143,16,16,16,0,16,16,320,321,Fisher Minn,Fisher,,Minnesota,town,Fisher MN
5784,47.80215070000001,-97.5943798,1,1,1,1,1,1,598,599,Avon Township Pembina county N Dak,Avon,Pembina,North Dakota,town,Avon ND
5785,47.80224120000001,-103.2832467,1,1,1,0,1,1,28210,28211,Watford City N Dak,Watford City,,North Dakota,town,Watford City ND
5786,47.8029731,-100.6625727,1,1,1,0,1,1,7507,7508,Dogden N Dak,Dogden,,North Dakota,town,Dogden ND
5787,47.8054749,-92.2746054,4,4,4,0,4,4,2547,2548,Tower Minn,Tower,,Minnesota,town,Tower MN
5788,47.8083689,-95.5356645,1,1,1,0,1,1,25397,25398,Winsor Minn,Winsor Township,,Minnesota,town,Winsor Township MN
5789,47.8116562,-96.9410545,1,1,1,0,1,1,331,332,Bygland Minn,Bygland,,Minnesota,town,Bygland MN
5790,47.813622,-69.152107,1,1,1,1,1,1,5209,5210,St Hubert Quebec,SaintHubert,Quebec,Canada,town,SaintHubert QC GL Canada
5791,47.8148809,-96.0028038,1,1,1,0,1,1,21858,21859,Brooks Minn,Brooks,,Minnesota,town,Brooks MN
5792,47.8188781,-97.6142539,5,5,5,0,5,5,286,287,Kempton N Dak,Kempton,,North Dakota,town,Kempton ND
5793,47.8194179,-96.7609049,1,1,1,0,1,1,1671,1672,Freeman Minn,Freeman,,Minnesota,town,Freeman MN
5794,47.8194636,-103.5407514,1,1,1,0,1,1,511,512,Rawson N Dak,Rawson,,North Dakota,town,Rawson ND
5795,47.8266671,-100.1151307,2,2,2,0,2,2,11665,11666,Martin N Dak,Martin,,North Dakota,town,Martin ND
5796,47.8272203,-98.4401019,5,5,5,0,5,5,5901,5902,Toina N Dak,ToIna,,North Dakota,town,Tolna ND
5797,47.8280543,-99.120122,34,34,34,0,34,34,1247,1248,Sheyenne N Dak,Sheyenne,,North Dakota,town,Sheyenne ND
5798,47.8316706,-99.7615139,2,2,2,0,2,2,11528,11529,Wellsburg N Dak,Wellsburg,,North Dakota,town,Wellsburg ND
5799,47.8324651,-96.1333742,4,4,4,0,4,4,4656,4657,Terrebonne Minn,Terrebonne,,Minnesota,town,Terrebonne MN
5800,47.8436098,-98.5734376,5,5,5,0,5,5,8921,8922,Hamar N Dak,Hamar,,North Dakota,town,Hamar ND
5801,47.845813,-97.1095253,3,3,3,0,3,3,1748,1749,Merrifield N Dak,Merrifield,,North Dakota,town,Merrifield ND
5802,47.8572386,-99.9005702,2,2,2,0,0,2,6235,6236,Seiz N Dak,Selz,,,town,Selz ND
5803,47.8575023,-100.5115274,1,1,1,0,1,1,26474,26475,Kief N Dak,Kief,,North Dakota,town,Kief ND
5804,47.86,35.009444,1,1,1,0,1,1,13705,13706,Rosenthal Russia,Rosenthal,,Russia,town,Chortitza Colony Ukraine
5805,47.87634600000001,-95.0169401,1,1,1,0,1,1,24139,24140,Red Lake Minn,Red Lake,,Minnesota,town,Red Lake MN
5806,47.8766429,-96.9117415,1,1,1,0,1,1,12437,12438,Mallory Minn,Mallory,,Minnesota,town,Mallory MN
5807,47.88219,-96.2742143,11,11,11,0,11,11,2830,2831,Red Lake Falls Minn,Red Lake Falls,,Minnesota,town,Red Lake Falls MN
5808,47.8825008,-100.241246,5,5,5,0,5,5,10907,10908,Anamoose N Dak,Anamoose,,North Dakota,town,Anamoose ND
5809,47.8829686,-96.3105144,1,1,1,0,1,1,17662,17663,lied Lake Falls Minn,Red Lake Falls,,Minnesota,town,Red Lake Falls Minnesota
5810,47.90323720000001,-91.8670873,2,2,2,0,2,2,14851,14852,Ely Minn,Ely,,Minnesota,town,Ely MN
5811,47.9066569,-97.6267539,55,55,55,0,55,55,657,658,Larimoie N Dak,Larimore,,North Dakota,town,Larimore ND
5812,47.90741,-97.3103227,1,1,1,0,1,1,27977,27978,Oakville N Dak,Oakville,,North Dakota,town,Oakville ND
5813,47.9111706,-96.0417151,1,1,1,0,1,1,11297,11298,Plummer Minn,Plummer,,Minnesota,town,Plummer MN
5814,47.9128756,-122.0981848,1,1,1,0,1,1,27379,27380,Snohomish Wash,Snohomish,,Washington,town,Snohomish WA
5815,47.9149122,-97.1728973,351,351,351,0,351,351,53,54,Grand Forks N Dak,Grand Forks,,North Dakota,town,Grand Forks ND
5816,47.917484,-97.269249,4,4,4,0,4,4,1658,1659,Ojata N Dak,Ojata,,North Dakota,town,Ojata North Dakota
5817,47.918875,-97.3650837,14,14,14,0,14,14,2647,2648,Emerado N Dak,Emerado,,North Dakota,town,Emerado ND
5818,47.9195066,-97.4950227,11,11,11,0,11,11,528,529,Arvilla N Dak,Arvilla,,North Dakota,town,Arvilla ND
5819,47.920575,-104.0310439,1,1,1,0,1,1,30273,30274,Dore N Dak,Dore,,North Dakota,town,Dore ND
5820,47.92134765,-98.1921115,5,5,0,5,5,5,8694,8695,Nelson county N Dak,,Nelson,North Dakota,county,Nelson County ND
5821,47.92167226,-97.45671904,2,2,0,2,2,2,2450,2451,Grand Forks county,,Grand Forks,North Dakota,county,Grand Forks County ND
5822,47.923055,-99.2040184,24,24,24,0,24,24,339,340,Oberon N Dak,Oberon,,North Dakota,town,Oberon ND
5823,47.9247214,-98.8162234,2,2,2,0,2,2,17362,17363,Tokio N Dak,Tokio,,North Dakota,town,Tokio ND
5824,47.9311871,-97.009347,31,31,31,0,31,31,599,600,East Grand Forks Minn,East Grand Forks,,Minnesota,town,East Grand Forks MN
5825,47.9346956,-96.7921784,1,1,1,0,1,1,7710,7711,Key West Minn,Key West,,Minnesota,town,Key West MN
5826,47.95028350000001,-99.41791059999998,2,2,2,0,2,2,11859,11860,Flora N Dak,Flora,,North Dakota,town,Flora ND
5827,47.9516711,-100.5345865,2,2,2,0,2,2,5688,5689,Balfour N Dak,Balfour,,North Dakota,town,Balfour ND
5828,47.9552697,-97.7511998,5,5,5,0,5,5,4501,4502,Shawnee N Dak,Shawnee,,North Dakota,town,Shawnee ND
5829,47.9619138,-96.3531055,1,1,1,0,1,1,3223,3224,Wylie Minn,Wylie,,Minnesota,town,Wylie MN
5830,47.9625088,-99.530133,23,23,23,0,23,23,3766,3767,Maddock D T,Maddock,,Dakota Territory,town,Maddock ND
5831,47.9680515,-98.7016489,1,1,1,0,1,1,22949,22950,Odessa D T,Odessa,,Dakota Territory,town,Odessa ND
5832,47.9739046,-102.5460155,1,1,1,0,1,1,3879,3880,Sanish N Dak,Sanish,,North Dakota,town,Sanish ND
5833,47.9783327,-99.2159659,1,1,1,0,1,1,8840,8841,Lallie N Dak,Lallie,,North Dakota,town,Lallie ND
